Surgery,Recommended physiotherapy Exercises,Exercise Type,Intensity,Frequency,Purpose
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Rotator Cuff Repair,"[""Pendulum Swings"", ""Passive External Rotation"", ""Cane Assisted Flexion""]",Flexibility,Low,3x/day,Restore shoulder flexibility and reduce stiffness
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Rotator Cuff Repair,"[""Pendulum Swings"", ""Passive External Rotation"", ""Cane Assisted Flexion""]",Flexibility,Low,3x/day,Restore shoulder flexibility and reduce stiffness
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
Rotator Cuff Repair,"[""Pendulum Swings"", ""Passive External Rotation"", ""Cane Assisted Flexion""]",Flexibility,Low,3x/day,Restore shoulder flexibility and reduce stiffness
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
ACL Reconstruction,"[""Heel Slides"", ""Quad Sets"", ""Hamstring Curls"", ""Step-ups""]",Strength,Medium,Daily,Strengthen knee and restore function
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
Rotator Cuff Repair,"[""Pendulum Swings"", ""Passive External Rotation"", ""Cane Assisted Flexion""]",Flexibility,Low,3x/day,Restore shoulder flexibility and reduce stiffness
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Total Knee Replacement,"[""Heel Slides"", ""Quad Sets"", ""Straight Leg Raises"", ""Ankle Pumps""]",Range of Motion,Low,2x/day,Regain knee mobility and reduce swelling
Spinal Fusion,"[""Pelvic Tilts"", ""Bridging"", ""Knee to Chest"", ""Heel Slides""]",Stability,Low,Daily,Enhance core stability and spine support
Hip Replacement,"[""Ankle Pumps"", ""Glute Sets"", ""Hip Abductions"", ""Heel Slides""]",Mobility,Low,2x/day,Improve hip mobility and circulation
